2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | ML Training Logger initialized - Log file: train_logs\raw_cnn_classifier_20250815_213037.log
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | === SYSTEM INFORMATION ===
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Python Version: 3.12.6 (tags/v3.12.6:a4a2d2b, Sep  6 2024, 20:11:23) [MSC v.1940 64 bit (AMD64)]
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | PyTorch Version: 2.3.1+cu121
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | NumPy Version: 1.26.4
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Librosa Version: 0.10.2
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | CUDA Available: Yes
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | CUDA Version: 12.1
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | GPU: NVIDIA GeForce RTX 3060 Laptop GPU
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | GPU Memory: 6.0 GB
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | === END SYSTEM INFO ===
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Trainer initialized for raw_cnn_classifier
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | === RAW_CNN_CLASSIFIER ARCHITECTURE ===
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Total Parameters: 640,906
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Trainable Parameters: 640,906
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Non-trainable Parameters: 0
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 | Model Architecture:
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 |   conv1: Conv1d(1, 64, kernel_size=(80,), stride=(4,), padding=(38,), bias=False)
2025-08-15 21:30:37 | INFO     | ml_training_1989882468864 |   conv2: Conv1d(64, 128, kernel_size=(3,), stride=(1,), padding=(1,), bias=False)
