2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | ML Training Logger initialized - Log file: train_logs\mfcc_classifier_20250815_212917.log
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | === SYSTEM INFORMATION ===
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Python Version: 3.12.6 (tags/v3.12.6:a4a2d2b, Sep  6 2024, 20:11:23) [MSC v.1940 64 bit (AMD64)]
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | PyTorch Version: 2.3.1+cu121
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | NumPy Version: 1.26.4
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Librosa Version: 0.10.2
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | CUDA Available: Yes
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | CUDA Version: 12.1
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | GPU: NVIDIA GeForce RTX 3060 Laptop GPU
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | GPU Memory: 6.0 GB
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | === END SYSTEM INFO ===
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Trainer initialized for mfcc_classifier
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | === MFCC_CLASSIFIER ARCHITECTURE ===
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Total Parameters: 82,890
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Trainable Parameters: 82,890
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Non-trainable Parameters: 0
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | Model Architecture:
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.0: Linear(in_features=156, out_features=256, bias=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.1: BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.2: ReLU(inplace=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.3: Dropout(p=0.3, inplace=False)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.4: Linear(in_features=256, out_features=128, bias=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.5: BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.6: ReLU(inplace=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.7: Dropout(p=0.3, inplace=False)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.8: Linear(in_features=128, out_features=64, bias=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.9: BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.10: ReLU(inplace=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.11: Dropout(p=0.3, inplace=False)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 |   network.12: Linear(in_features=64, out_features=10, bias=True)
2025-08-15 21:29:17 | INFO     | ml_training_1958286911264 | === END MFCC_CLASSIFIER ARCHITECTURE ===
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | === EXPERIMENT CONFIGURATION ===
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | learning_rate: 0.001
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | weight_decay: 0.0001
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | scheduler_type: plateau
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | early_stopping_patience: 10
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | gradient_clipping: 1.0
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | mixed_precision: True
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | optimizer: Adam
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | loss_function: CrossEntropyLoss with label smoothing
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | device: cuda
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | Configuration saved to: train_logs\config_mfcc_classifier_20250815_212917.json
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | === END CONFIGURATION ===
2025-08-15 21:29:18 | INFO     | ml_training_1958286911264 | Starting training for 5 epochs
2025-08-15 21:29:18 | DEBUG    | ml_training_1958286911264 | Timer started: train_epoch_1
2025-08-15 21:29:18 | DEBUG    | ml_training_1958286911264 | Batch 0/119: Loss=3.0202, Acc=0.00%
2025-08-15 21:29:18 | DEBUG    | ml_training_1958286911264 | Batch 50/119: Loss=1.7927, Acc=20.10%
2025-08-15 21:29:19 | DEBUG    | ml_training_1958286911264 | Batch 100/119: Loss=1.6341, Acc=33.42%
2025-08-15 21:29:19 | INFO     | ml_training_1958286911264 | Timer 'train_epoch_1': 1.0386 seconds
